Question,Answer,Source,Verb,Target
Explain the connection between purine and foods.,purine is a dietary supplement,purine,contain,foods
How are purine and foods related?,purine is a dietary supplement,purine,contain,foods
Who or what contains foods?,purine,purine,contain,foods
What is the relationship between which one and the visibility?,decrease visibility,which one,reduce,the visibility
Explain the connection between which one and the visibility.,eyeglasses,which one,reduce,the visibility
How are which one and the visibility related?,reduce the visibility,which one,reduce,the visibility
What does which one reduce?,visibility,which one,reduce,the visibility
Who or what reduces the visibility?,one,which one,reduce,the visibility
What is the relationship between the e prism and the incident ray?,is a source of light,the e prism,bend,the incident ray
Explain the connection between the e prism and the incident ray.,the e prism bends the incident ray,the e prism,bend,the incident ray
How are the e prism and the incident ray related?,the e prism bend the incident ray,the e prism,bend,the incident ray
What bends the incident ray?,e prism,the e prism,bend,the incident ray
What does the e prism bend?,incident ray,the e prism,bend,the incident ray
Who or what bends the incident ray?,the e prism,the e prism,bend,the incident ray
What is the relationship between the defective plugs and plugs?,replacement,the defective plugs,replace,plugs
Explain the connection between the defective plugs and plugs.,plugs,the defective plugs,replace,plugs
How are the defective plugs and plugs related?,plugs,the defective plugs,replace,plugs
What does the defective plugs replace?,plugs,the defective plugs,replace,plugs
What is the relationship between the tip and root?,root is opposite of the tip,the tip,develop,root
Explain the connection between the tip and root.,the tip of a flower,the tip,develop,root
How are the tip and root related?,the tip develop root,the tip,develop,root
What does the tip develop?,root,the tip,develop,root
Who or what develops root?,the tip,the tip,develop,root
What is the relationship between water and 10 kg?,is more than one,water,mix,10 kg
Explain the connection between water and 10 kg.,weight,water,mix,10 kg
How are water and 10 kg related?,weight,water,mix,10 kg
Who or what miss 10 kg?,water,water,mix,10 kg
What is the relationship between human inhale it and severe effect?,cause,human inhale it,cause,severe effect
Explain the connection between human inhale it and severe effect.,inhale it cause severe effect,human inhale it,cause,severe effect
How are human inhale it and severe effect related?,human inhale it cause severe effect,human inhale it,cause,severe effect
What does human inhale it cause?,severe effect,human inhale it,cause,severe effect
Who or what causes severe effect?,human inhale it,human inhale it,cause,severe effect
What is the relationship between the coil and a force?,experience,the coil,experience,a force
Explain the connection between the coil and a force.,coil is a component of a coil,the coil,experience,a force
How are the coil and a force related?,experience a force,the coil,experience,a force
What does the coil experience?,a force,the coil,experience,a force
Who or what experiences a force?,the coil,the coil,experience,a force
What is the relationship between a tiny segment and the particular characteristic?,determine the particular characteristic,a tiny segment,determine,the particular characteristic
Explain the connection between a tiny segment and the particular characteristic.,a tiny segment determines the particular characteristic,a tiny segment,determine,the particular characteristic
How are a tiny segment and the particular characteristic related?,determine the particular characteristic,a tiny segment,determine,the particular characteristic
What determines the particular characteristic?,a tiny segment,a tiny segment,determine,the particular characteristic
What does a tiny segment determine?,particular characteristic,a tiny segment,determine,the particular characteristic
Who or what determines the particular characteristic?,a tiny segment,a tiny segment,determine,the particular characteristic
What is the relationship between electricity and photovoltaic effect?,inducing,electricity,induce,photovoltaic effect
Explain the connection between electricity and photovoltaic effect.,photovoltaic effect,electricity,induce,photovoltaic effect
How are electricity and photovoltaic effect related?,photovoltaic effect,electricity,induce,photovoltaic effect
Who or what induces photovoltaic effect?,electricity,electricity,induce,photovoltaic effect
What is the relationship between the off-springs and their parents?,resemble,the off-springs,resemble,their parents
Explain the connection between the off-springs and their parents.,the off-springs resemble their parents,the off-springs,resemble,their parents
How are the off-springs and their parents related?,resemble,the off-springs,resemble,their parents
What does the off-springs resemble?,their parents,the off-springs,resemble,their parents
Who or what resembles their parents?,off-springs,the off-springs,resemble,their parents
What is the relationship between the atomic size and the group?,increase,the atomic size,increase,the group
Explain the connection between the atomic size and the group.,increase the number of atoms in a group,the atomic size,increase,the group
How are the atomic size and the group related?,increase the group,the atomic size,increase,the group
What does the atomic size increase?,the group,the atomic size,increase,the group
Who or what increases the group?,atomic size,the atomic size,increase,the group
What is the relationship between top pan and the weight?,note,top pan,note,the weight
Explain the connection between top pan and the weight.,is used to measure the weight of an object,top pan,note,the weight
How are top pan and the weight related?,note the weight,top pan,note,the weight
What does top pan note?,weight,top pan,note,the weight
Who or what notes the weight?,top pan,top pan,note,the weight
What is the relationship between laboratory apparatus and beakers?,is a part of,laboratory apparatus,like,beakers
Explain the connection between laboratory apparatus and beakers.,beakers are a type of laboratory apparatus.,laboratory apparatus,like,beakers
How are laboratory apparatus and beakers related?,laboratory apparatus,laboratory apparatus,like,beakers
What does laboratory apparatus like?,beakers,laboratory apparatus,like,beakers
Who or what likes beakers?,laboratory apparatus,laboratory apparatus,like,beakers
What is the relationship between mendel and mendel s laws?,mendel formulated mendel s laws,mendel,formulate,mendel s laws
Explain the connection between mendel and mendel s laws.,mendel formulated mendel s laws,mendel,formulate,mendel s laws
How are mendel and mendel s laws related?,mendel formulated mendel s laws,mendel,formulate,mendel s laws
What formulated mendel s laws?,mendel,mendel,formulate,mendel s laws
Who or what formulated mendel s laws?,mendel,mendel,formulate,mendel s laws
What is the relationship between the splashed matter and the formation?,result,the splashed matter,result,the formation
Explain the connection between the splashed matter and the formation.,the splashed matter resulted in the formation,the splashed matter,result,the formation
How are the splashed matter and the formation related?,result,the splashed matter,result,the formation
What does the splashed matter result?,formation,the splashed matter,result,the formation
Who or what results the formation?,splashed matter,the splashed matter,result,the formation
What is the relationship between a type and place?,instance of,a type,take,place
Explain the connection between a type and place.,location,a type,take,place
How are a type and place related?,place,a type,take,place
What does a type take?,place,a type,take,place
Who or what takes place?,type,a type,take,place
What is the relationship between industrial gases and dizziness?,cause,industrial gases,cause,dizziness
Explain the connection between industrial gases and dizziness.,industrial gases cause dizziness,industrial gases,cause,dizziness
How are industrial gases and dizziness related?,industrial gases cause dizziness,industrial gases,cause,dizziness
What does industrial gases cause?,dizziness,industrial gases,cause,dizziness
Who or what causes dizziness?,industrial gases,industrial gases,cause,dizziness
What is the relationship between the stones and a metal?,place,the stones,place,a metal
Explain the connection between the stones and a metal.,in a place of worship,the stones,place,a metal
How are the stones and a metal related?,the stones place a metal,the stones,place,a metal
What does the stones place?,metal,the stones,place,a metal
Who or what places a metal?,stones,the stones,place,a metal
What is the relationship between phenotype long and drosophila?,parent taxon,phenotype long,wing,drosophila
Explain the connection between phenotype long and drosophila.,"is a species of flowering plant in the genus ""Long wing drosophila""",phenotype long,wing,drosophila
How are phenotype long and drosophila related?,long wing drosophila,phenotype long,wing,drosophila
What does phenotype long wing?,drosophila,phenotype long,wing,drosophila
Who or what wings drosophila?,long,phenotype long,wing,drosophila
What is the relationship between necessary efforts and the impacts?,cause,necessary efforts,minimize,the impacts
Explain the connection between necessary efforts and the impacts.,impact,necessary efforts,minimize,the impacts
How are necessary efforts and the impacts related?,necessary efforts minimize the impacts,necessary efforts,minimize,the impacts
What does necessary efforts minimize?,impacts,necessary efforts,minimize,the impacts
Who or what minimize the impacts?,necessary efforts,necessary efforts,minimize,the impacts
What is the relationship between the off-springs and their parents?,resemble,the off-springs,resemble,their parents
Explain the connection between the off-springs and their parents.,the off-springs resemble their parents,the off-springs,resemble,their parents
How are the off-springs and their parents related?,resemble,the off-springs,resemble,their parents
What does the off-springs resemble?,their parents,the off-springs,resemble,their parents
Who or what resembles their parents?,off-springs,the off-springs,resemble,their parents
What is the relationship between their increasing atomic number and the elements?,their increasing atomic number,their increasing atomic number,arrange,the elements
Explain the connection between their increasing atomic number and the elements.,their increasing atomic number arranges the elements,their increasing atomic number,arrange,the elements
How are their increasing atomic number and the elements related?,their increasing atomic number arrange the elements,their increasing atomic number,arrange,the elements
What does their increasing atomic number arrange?,elements,their increasing atomic number,arrange,the elements
Who or what arranged the elements?,their increasing atomic number,their increasing atomic number,arrange,the elements
What is the relationship between the nascent chlorine reacts and ozone layer?,destroy,the nascent chlorine reacts,destroy,ozone layer
Explain the connection between the nascent chlorine reacts and ozone layer.,the nascent chlorine reacts destroy ozone layer,the nascent chlorine reacts,destroy,ozone layer
How are the nascent chlorine reacts and ozone layer related?,nascent chlorine reacts destroy ozone layer,the nascent chlorine reacts,destroy,ozone layer
What does the nascent chlorine reacts destroy?,ozone layer,the nascent chlorine reacts,destroy,ozone layer
Who or what destroys ozone layer?,nascent chlorine,the nascent chlorine reacts,destroy,ozone layer
What is the relationship between the conductor and electrical energy?,convert,the conductor,convert,electrical energy
Explain the connection between the conductor and electrical energy.,electrical energy,the conductor,convert,electrical energy
How are the conductor and electrical energy related?,convert electrical energy,the conductor,convert,electrical energy
What does the conductor convert?,electrical energy,the conductor,convert,electrical energy
Who or what converts electrical energy?,the conductor,the conductor,convert,electrical energy
What is the relationship between industrial gases and dizziness?,cause,industrial gases,cause,dizziness
Explain the connection between industrial gases and dizziness.,industrial gases cause dizziness,industrial gases,cause,dizziness
How are industrial gases and dizziness related?,industrial gases cause dizziness,industrial gases,cause,dizziness
What does industrial gases cause?,dizziness,industrial gases,cause,dizziness
Who or what causes dizziness?,industrial gases,industrial gases,cause,dizziness
What is the relationship between 4n effort and 10 2 density?,inversely proportional to 4n effort,4n effort,apply,10 2 density
Explain the connection between 4n effort and 10 2 density.,4n,4n effort,apply,10 2 density
How are 4n effort and 10 2 density related?,4n effort,4n effort,apply,10 2 density
What apply 10 2 density?,4n effort,4n effort,apply,10 2 density
What does 4n effort apply?,density,4n effort,apply,10 2 density
Who or what apply 10 2 density?,4n effort,4n effort,apply,10 2 density
What is the relationship between which chemicals and acid rain?,dissolved in water,which chemicals,cause,acid rain
Explain the connection between which chemicals and acid rain.,carbon monoxide,which chemicals,cause,acid rain
How are which chemicals and acid rain related?,nitrogen oxides,which chemicals,cause,acid rain
What does which chemicals cause?,acid rain,which chemicals,cause,acid rain
Who or what causes acid rain?,chemicals,which chemicals,cause,acid rain
What is the relationship between todo a and the best alternative?,is a synonym for,todo a,choose,the best alternative
Explain the connection between todo a and the best alternative.,is a synonym for best alternative,todo a,choose,the best alternative
How are todo a and the best alternative related?,todo a and the best alternative,todo a,choose,the best alternative
What does todo a choose?,the best alternative,todo a,choose,the best alternative
What is the relationship between clinical thermometer and temperature?,is a measure of temperature,clinical thermometer,read,temperature
Explain the connection between clinical thermometer and temperature.,thermometer is used to measure temperature,clinical thermometer,read,temperature
How are clinical thermometer and temperature related?,thermometer is a type of thermometer,clinical thermometer,read,temperature
What does clinical thermometer read?,temperature,clinical thermometer,read,temperature
Who or what reads temperature?,clinical thermometer,clinical thermometer,read,temperature
What is the relationship between a poisonous gas and the loss?,cause,a poisonous gas,cause,the loss
Explain the connection between a poisonous gas and the loss.,loss of consciousness,a poisonous gas,cause,the loss
How are a poisonous gas and the loss related?,cause the loss,a poisonous gas,cause,the loss
What does a poisonous gas cause?,loss,a poisonous gas,cause,the loss
Who or what causes the loss?,a poisonous gas,a poisonous gas,cause,the loss
What is the relationship between the bisexual plants and wheat?,plants,the bisexual plants,like,wheat
Explain the connection between the bisexual plants and wheat.,they eat it,the bisexual plants,like,wheat
How are the bisexual plants and wheat related?,plants,the bisexual plants,like,wheat
What does the bisexual plants like?,wheat,the bisexual plants,like,wheat
Who or what likes wheat?,plants,the bisexual plants,like,wheat
What is the relationship between the electronic configuration and 28 2p?,is a part of,the electronic configuration,study,28 2p
Explain the connection between the electronic configuration and 28 2p.,is a computer science textbook,the electronic configuration,study,28 2p
How are the electronic configuration and 28 2p related?,the electronic configuration study 28 2p,the electronic configuration,study,28 2p
What does the electronic configuration study?,28 2p,the electronic configuration,study,28 2p
Who or what study 28 2p?,electronic configuration,the electronic configuration,study,28 2p
What is the relationship between activity 5.1 method and a convex lens?,is attached to,activity 5.1 method,hold,a convex lens
Explain the connection between activity 5.1 method and a convex lens.,it is used to hold a convex lens,activity 5.1 method,hold,a convex lens
How are activity 5.1 method and a convex lens related?,activity 5.1 method hold a convex lens,activity 5.1 method,hold,a convex lens
What holds a convex lens?,activity 5.1 method,activity 5.1 method,hold,a convex lens
What does activity 5.1 method hold?,convex lens,activity 5.1 method,hold,a convex lens
Who or what holds a convex lens?,activity 5.1 method,activity 5.1 method,hold,a convex lens
What is the relationship between constant a and the distance?,constant a,constant a,keep,the distance
Explain the connection between constant a and the distance.,constant a is a measure of distance,constant a,keep,the distance
How are constant a and the distance related?,constant a,constant a,keep,the distance
What does constant a keep?,distance,constant a,keep,the distance
Who or what keeps the distance?,constant,constant a,keep,the distance
What is the relationship between the amount and carbon dioxide?,is proportional to,the amount,prepare,carbon dioxide
Explain the connection between the amount and carbon dioxide.,the amount of carbon dioxide,the amount,prepare,carbon dioxide
How are the amount and carbon dioxide related?,amount and carbon dioxide,the amount,prepare,carbon dioxide
What does the amount prepare?,carbon dioxide,the amount,prepare,carbon dioxide
What is the relationship between define instar larva and silk?,parent,define instar larva,produce,silk
Explain the connection between define instar larva and silk.,larvae are a type of flowering plant.,define instar larva,produce,silk
How are define instar larva and silk related?,to each other,define instar larva,produce,silk
What does define instar larva produce?,silk,define instar larva,produce,silk
Who or what produces silk?,instar larva,define instar larva,produce,silk
What is the relationship between the gravity and an object?,attract,the gravity,attract,an object
Explain the connection between the gravity and an object.,attracts,the gravity,attract,an object
How are the gravity and an object related?,attract,the gravity,attract,an object
What does the gravity attract?,object,the gravity,attract,an object
Who or what attracts an object?,gravity,the gravity,attract,an object
What is the relationship between electricity and photovoltaic effect?,inducing,electricity,induce,photovoltaic effect
Explain the connection between electricity and photovoltaic effect.,photovoltaic effect,electricity,induce,photovoltaic effect
How are electricity and photovoltaic effect related?,photovoltaic effect,electricity,induce,photovoltaic effect
Who or what induces photovoltaic effect?,electricity,electricity,induce,photovoltaic effect
What is the relationship between mercury vapour and filled tube lights?,is a source of light,mercury vapour,like,filled tube lights
Explain the connection between mercury vapour and filled tube lights.,are a type of light source,mercury vapour,like,filled tube lights
How are mercury vapour and filled tube lights related?,mercury vapour,mercury vapour,like,filled tube lights
What likes filled tube lights?,mercury vapour,mercury vapour,like,filled tube lights
What does mercury vapour like?,filled tube lights,mercury vapour,like,filled tube lights
Who or what likes filled tube lights?,mercury vapour,mercury vapour,like,filled tube lights
What is the relationship between the water resources and the quality?,degrade the quality,the water resources,degrade,the quality
Explain the connection between the water resources and the quality.,the water resources degrade the quality,the water resources,degrade,the quality
How are the water resources and the quality related?,degrade the quality,the water resources,degrade,the quality
What does the water resources degrade?,quality,the water resources,degrade,the quality
Who or what degraded the quality?,water resources,the water resources,degrade,the quality
What is the relationship between activity and a chart?,is a collection of data,activity,sketch,a chart
Explain the connection between activity and a chart.,activity is a type of work,activity,sketch,a chart
How are activity and a chart related?,activity is a type of chart.,activity,sketch,a chart
Who or what sketch a chart?,activity,activity,sketch,a chart
What is the relationship between the form and the sensation?,form produces the sensation,the form,produce,the sensation
Explain the connection between the form and the sensation.,form is a sensory organ,the form,produce,the sensation
How are the form and the sensation related?,form produce the sensation,the form,produce,the sensation
What does the form produce?,sensation,the form,produce,the sensation
Who or what produces the sensation?,the form,the form,produce,the sensation
What is the relationship between the substances and enough useful energy?,substances are metabolized,the substances,provide,enough useful energy
Explain the connection between the substances and enough useful energy.,the substances provide enough useful energy,the substances,provide,enough useful energy
How are the substances and enough useful energy related?,substances and enough useful energy,the substances,provide,enough useful energy
What does the substances provide?,useful energy,the substances,provide,enough useful energy
What is the relationship between male silkworm and eggs?,parent,male silkworm,lay,eggs
Explain the connection between male silkworm and eggs.,male silkworm,male silkworm,lay,eggs
How are male silkworm and eggs related?,male silkworm,male silkworm,lay,eggs
What does male silkworm lay?,eggs,male silkworm,lay,eggs
Who or what lays eggs?,male silkworm,male silkworm,lay,eggs
What is the relationship between functions and oxygen?,oxygen-density relationship,functions,supply,oxygen
Explain the connection between functions and oxygen.,oxygen atoms,functions,supply,oxygen
How are functions and oxygen related?,Oxygen is a metabolite of oxygen.,functions,supply,oxygen
Who or what supply oxygen?,functions,functions,supply,oxygen
What is the relationship between the amount and carbon dioxide?,is proportional to,the amount,prepare,carbon dioxide
Explain the connection between the amount and carbon dioxide.,the amount of carbon dioxide,the amount,prepare,carbon dioxide
How are the amount and carbon dioxide related?,amount and carbon dioxide,the amount,prepare,carbon dioxide
What does the amount prepare?,carbon dioxide,the amount,prepare,carbon dioxide
What is the relationship between harmful insects and all the stage?,destroyed,harmful insects,destroy,all the stage
Explain the connection between harmful insects and all the stage.,harmful insects destroy all the stage,harmful insects,destroy,all the stage
How are harmful insects and all the stage related?,harmful insects destroy all the stage,harmful insects,destroy,all the stage
What destroys all the stage?,harmful insects,harmful insects,destroy,all the stage
What does harmful insects destroy?,the stage,harmful insects,destroy,all the stage
Who or what destroys all the stage?,harmful insects,harmful insects,destroy,all the stage
What is the relationship between the nuclear reaction and the hydrogen nuclei?,nucleus,the nuclear reaction,convert,the hydrogen nuclei
Explain the connection between the nuclear reaction and the hydrogen nuclei.,the nucleus of the nucleus of the nucleus of the nucleus of the nucleus of the nucleus of the nu,the nuclear reaction,convert,the hydrogen nuclei
How are the nuclear reaction and the hydrogen nuclei related?,nuclear reaction convert the hydrogen nuclei,the nuclear reaction,convert,the hydrogen nuclei
What converts the hydrogen nuclei?,the nuclear reaction,the nuclear reaction,convert,the hydrogen nuclei
What does the nuclear reaction convert?,hydrogen nuclei,the nuclear reaction,convert,the hydrogen nuclei
Who or what converts the hydrogen nuclei?,the nuclear reaction,the nuclear reaction,convert,the hydrogen nuclei
What is the relationship between the best alternatives and a 2 times?,is a synonym for 2 times,the best alternatives,choose,a 2 times
Explain the connection between the best alternatives and a 2 times.,a 2 times is the opposite of a 2 times.,the best alternatives,choose,a 2 times
How are the best alternatives and a 2 times related?,the best alternatives and a 2 times are related,the best alternatives,choose,a 2 times
What does the best alternatives choose?,a 2 times,the best alternatives,choose,a 2 times
What is the relationship between promoter and the function?,activation,promoter,enhance,the function
Explain the connection between promoter and the function.,promoter is a component of a function,promoter,enhance,the function
How are promoter and the function related?,promoter enhance the function,promoter,enhance,the function
Who or what enhanced the function?,promoter,promoter,enhance,the function
What is the relationship between nepal and the impacts?,mentioned in the passage,nepal,mention,the impacts
Explain the connection between nepal and the impacts.,nepal is a country,nepal,mention,the impacts
How are nepal and the impacts related?,mention,nepal,mention,the impacts
Who or what mentions the impacts?,nepal,nepal,mention,the impacts
What is the relationship between a person and two x- chromosomes?,person gets two x- chromosomes,a person,get,two x- chromosomes
Explain the connection between a person and two x- chromosomes.,a person get two x- chromosomes,a person,get,two x- chromosomes
How are a person and two x- chromosomes related?,get two x- chromosomes,a person,get,two x- chromosomes
What gets two x- chromosomes?,a person,a person,get,two x- chromosomes
What does a person get?,two x- chromosomes,a person,get,two x- chromosomes
Who or what gets two x- chromosomes?,a person,a person,get,two x- chromosomes
What is the relationship between the addition and essential elements?,provide,the addition,provide,essential elements
Explain the connection between the addition and essential elements.,provide,the addition,provide,essential elements
How are the addition and essential elements related?,the addition provide essential elements,the addition,provide,essential elements
What does the addition provide?,essential elements,the addition,provide,essential elements
What is the relationship between thyroid gland secretes and the calcium?,balance,thyroid gland secretes,balance,the calcium
Explain the connection between thyroid gland secretes and the calcium.,thyroid gland secretes thyroid hormone,thyroid gland secretes,balance,the calcium
How are thyroid gland secretes and the calcium related?,thyroid gland secretes balance the calcium,thyroid gland secretes,balance,the calcium
What does thyroid gland secretes balance?,calcium,thyroid gland secretes,balance,the calcium
Who or what balances the calcium?,thyroid gland,thyroid gland secretes,balance,the calcium
What is the relationship between whose shape and animals?,shape,whose shape,like,animals
Explain the connection between whose shape and animals.,whose shape like animals,whose shape,like,animals
How are whose shape and animals related?,whose shape like animals,whose shape,like,animals
What does whose shape like?,animals,whose shape,like,animals
Who or what likes animals?,whose shape,whose shape,like,animals
What is the relationship between all the organisms and offsprings?,reproduction,all the organisms,reproduce,offsprings
Explain the connection between all the organisms and offsprings.,reproduction,all the organisms,reproduce,offsprings
How are all the organisms and offsprings related?,organisms reproduce offsprings,all the organisms,reproduce,offsprings
What does all the organisms reproduce?,offsprings,all the organisms,reproduce,offsprings
Who or what reproduces offsprings?,organisms,all the organisms,reproduce,offsprings
What is the relationship between the electropositivity and the group?,increase,the electropositivity,increase,the group
Explain the connection between the electropositivity and the group.,increase the number of atoms in a nucleus,the electropositivity,increase,the group
How are the electropositivity and the group related?,increase the group,the electropositivity,increase,the group
What does the electropositivity increase?,the group,the electropositivity,increase,the group
Who or what increases the group?,electropositivity,the electropositivity,increase,the group
What is the relationship between the flow and the feeling?,is associated with,the flow,give,the feeling
Explain the connection between the flow and the feeling.,it's a feeling,the flow,give,the feeling
How are the flow and the feeling related?,the feeling,the flow,give,the feeling
What does the flow give?,feeling,the flow,give,the feeling
Who or what gives the feeling?,the flow,the flow,give,the feeling
What is the relationship between industries and dust particles?,industry is the source of dust particles,industries,release,dust particles
Explain the connection between industries and dust particles.,dust particles release dust particles,industries,release,dust particles
How are industries and dust particles related?,industries release dust particles,industries,release,dust particles
Who or what release dust particles?,industries,industries,release,dust particles
What is the relationship between c1205 602 chlorophyll science and limewater?,dissolved in water,c1205 602 chlorophyll science,prepare,limewater
Explain the connection between c1205 602 chlorophyll science and limewater.,chemically,c1205 602 chlorophyll science,prepare,limewater
How are c1205 602 chlorophyll science and limewater related?,chlorophyll,c1205 602 chlorophyll science,prepare,limewater
What does c1205 602 chlorophyll science prepare?,limewater,c1205 602 chlorophyll science,prepare,limewater
What is the relationship between which one and the pure tall plant?,genus,which one,represent,the pure tall plant
Explain the connection between which one and the pure tall plant.,lily of valley,which one,represent,the pure tall plant
How are which one and the pure tall plant related?,the pure tall plant,which one,represent,the pure tall plant
What represents the pure tall plant?,lily of valley,which one,represent,the pure tall plant
What does which one represent?,pure tall plant,which one,represent,the pure tall plant
Who or what represents the pure tall plant?,a tall plant,which one,represent,the pure tall plant
What is the relationship between the workers and proboscis?,they are a part of the family,the workers,possess,proboscis
Explain the connection between the workers and proboscis.,they are a part of a team,the workers,possess,proboscis
How are the workers and proboscis related?,they possess proboscis,the workers,possess,proboscis
What does the workers possess?,proboscis,the workers,possess,proboscis
Who or what possess proboscis?,the workers,the workers,possess,proboscis
What is the relationship between the acids rain and monuments?,corroded,the acids rain,corrode,monuments
Explain the connection between the acids rain and monuments.,monuments are exposed to the acid rain,the acids rain,corrode,monuments
How are the acids rain and monuments related?,corrode,the acids rain,corrode,monuments
What does the acids rain corrode?,monuments,the acids rain,corrode,monuments
Who or what comrades monuments?,the acids rain,the acids rain,corrode,monuments
What is the relationship between c. brisk effervescence and place?,location,c. brisk effervescence,take,place
Explain the connection between c. brisk effervescence and place.,effervescence is a type of effervescence,c. brisk effervescence,take,place
How are c. brisk effervescence and place related?,place,c. brisk effervescence,take,place
What does c. brisk effervescence take?,effervescence,c. brisk effervescence,take,place
Who or what takes place?,c. brisk effervescence,c. brisk effervescence,take,place
What is the relationship between anti coagulant substance and blood clotting?,cause,anti coagulant substance,prevent,blood clotting
Explain the connection between anti coagulant substance and blood clotting.,anticoagulant,anti coagulant substance,prevent,blood clotting
How are anti coagulant substance and blood clotting related?,prevent blood clotting,anti coagulant substance,prevent,blood clotting
What does anti coagulant substance prevent?,blood clotting,anti coagulant substance,prevent,blood clotting
Who or what prevents blood clotting?,anti coagulant substance,anti coagulant substance,prevent,blood clotting
What is the relationship between hyperparathyroidism and the release?,activation,hyperparathyroidism,stimulate,the release
Explain the connection between hyperparathyroidism and the release.,hyperparathyroidism stimulates the release of thyroid hormones,hyperparathyroidism,stimulate,the release
How are hyperparathyroidism and the release related?,hyperparathyroidism stimulates the release,hyperparathyroidism,stimulate,the release
Who or what stimulated the release?,hyperparathyroidism,hyperparathyroidism,stimulate,the release
What is the relationship between exerci and the best alternatives?,user,exerci,choose,the best alternatives
Explain the connection between exerci and the best alternatives.,exercise is a form of exercise,exerci,choose,the best alternatives
How are exerci and the best alternatives related?,exercise and the best alternatives,exerci,choose,the best alternatives
What is the relationship between i. combination and each?,identifier,i. combination,define,each
Explain the connection between i. combination and each.,each element of a mixture,i. combination,define,each
How are i. combination and each related?,to each other,i. combination,define,each
What does i. combination define?,each,i. combination,define,each
Who or what defines each?,i. combination,i. combination,define,each
What is the relationship between industries and gases?,industry,industries,emit,gases
Explain the connection between industries and gases.,industry is a source of energy,industries,emit,gases
How are industries and gases related?,industries emit gases,industries,emit,gases
Who or what emit gases?,industries,industries,emit,gases
What is the relationship between hyper secretion and hypoglycemia?,cause,hyper secretion,cause,hypoglycemia
Explain the connection between hyper secretion and hypoglycemia.,hypersecretion causes hypoglycemia,hyper secretion,cause,hypoglycemia
How are hyper secretion and hypoglycemia related?,hyper secretion cause hypoglycemia,hyper secretion,cause,hypoglycemia
What does hyper secretion cause?,hypoglycemia,hyper secretion,cause,hypoglycemia
Who or what causes hypoglycemia?,hyper secretion,hyper secretion,cause,hypoglycemia
What is the relationship between hydrochloric acid and beaker?,is a metabolite of hydrochloric acid,hydrochloric acid,contain,beaker
Explain the connection between hydrochloric acid and beaker.,hydrochloric acid is a chemical compound,hydrochloric acid,contain,beaker
How are hydrochloric acid and beaker related?,hydrochloric acid,hydrochloric acid,contain,beaker
What does hydrochloric acid contain?,beaker,hydrochloric acid,contain,beaker
Who or what contains beaker?,hydrochloric acid,hydrochloric acid,contain,beaker
What is the relationship between acids and very important role?,role,acids,play,very important role
Explain the connection between acids and very important role.,in cellular respiration,acids,play,very important role
How are acids and very important role related?,acids play very important role,acids,play,very important role
What plays very important role?,acids,acids,play,very important role
Who or what plays very important role?,acids,acids,play,very important role
What is the relationship between different metallic oxides and different colours?,impart different colours,different metallic oxides,impart,different colours
