Question,Answer,Source,Verb,Target
What is the relationship between the primary key and duplicate value?,accept,the primary key,accept,duplicate value
Explain the connection between the primary key and duplicate value.,accept duplicate value,the primary key,accept,duplicate value
How are the primary key and duplicate value related?,accept,the primary key,accept,duplicate value
What does the primary key accept?,duplicate value,the primary key,accept,duplicate value
Who or what accepts duplicate value?,primary key,the primary key,accept,duplicate value
What is the relationship between program 3 program and prime or composite rem?,is a rem,program 3 program,check,prime or composite rem
Explain the connection between program 3 program and prime or composite rem.,check prime or composite rem,program 3 program,check,prime or composite rem
How are program 3 program and prime or composite rem related?,program,program 3 program,check,prime or composite rem
What checks prime or composite rem?,program,program 3 program,check,prime or composite rem
What does program 3 program check?,prime or composite rem,program 3 program,check,prime or composite rem
Who or what checks prime or composite rem?,program,program 3 program,check,prime or composite rem
What is the relationship between ai technology and performance?,improved,ai technology,improve,performance
Explain the connection between ai technology and performance.,improves a computer's performance,ai technology,improve,performance
How are ai technology and performance related?,improve,ai technology,improve,performance
What does ai technology improve?,performance,ai technology,improve,performance
Who or what improves performance?,ai technology,ai technology,improve,performance
What is the relationship between store and software?,software,store,deliver,software
Explain the connection between store and software.,software,store,deliver,software
How are store and software related?,software,store,deliver,software
Who or what delivers software?,store,store,deliver,software
What is the relationship between a select query follow and the below steps?,is related to,a select query follow,follow,the below steps
Explain the connection between a select query follow and the below steps.,is a list of words that start with a s and end with a s,a select query follow,follow,the below steps
How are a select query follow and the below steps related?,The first sentence of the second sentence of the first sentence of the first sentence of the second sentence of the first sentence of the second sentence of the first sentence of,a select query follow,follow,the below steps
What follows the below steps?,is displayed on the screen.,a select query follow,follow,the below steps
What does a select query follow follow?,the following steps,a select query follow,follow,the below steps
Who or what follows the below steps?,select query,a select query follow,follow,the below steps
What is the relationship between each position and a specific power?,position,each position,represent,a specific power
Explain the connection between each position and a specific power.,position is a resemblance to a given position,each position,represent,a specific power
How are each position and a specific power related?,each position represent a specific power,each position,represent,a specific power
What represents a specific power?,position,each position,represent,a specific power
What does each position represent?,specific power,each position,represent,a specific power
Who or what represents a specific power?,position,each position,represent,a specific power
What is the relationship between a user-defined function and a value?,is a list of values,a user-defined function,return,a value
Explain the connection between a user-defined function and a value.,user-defined function,a user-defined function,return,a value
How are a user-defined function and a value related?,to a function,a user-defined function,return,a value
What does a user-defined function return?,a value,a user-defined function,return,a value
What is the relationship between step and the database file?,keystroke,step,open,the database file
Explain the connection between step and the database file.,step is a program that tries to run a command on a computer.,step,open,the database file
How are step and the database file related?,step,step,open,the database file
What opens the database file?,step,step,open,the database file
Who or what opens the database file?,step,step,open,the database file
What is the relationship between a e-commerce customers and shorter fulfilment time?,expect,a e-commerce customers,expect,shorter fulfilment time
Explain the connection between a e-commerce customers and shorter fulfilment time.,a e-commerce customers expect shorter fulfilment time,a e-commerce customers,expect,shorter fulfilment time
How are a e-commerce customers and shorter fulfilment time related?,a e-commerce customers expect shorter fulfilment time,a e-commerce customers,expect,shorter fulfilment time
What expects shorter fulfilment time?,a e-commerce customers,a e-commerce customers,expect,shorter fulfilment time
What does a e-commerce customers expect?,shorter fulfilment time,a e-commerce customers,expect,shorter fulfilment time
Who or what expects shorter fulfilment time?,a e-commerce customers,a e-commerce customers,expect,shorter fulfilment time
What is the relationship between sub-procedure and definition part?,sub-procedure,sub-procedure,call,definition part
Explain the connection between sub-procedure and definition part.,sub-procedure,sub-procedure,call,definition part
How are sub-procedure and definition part related?,sub-procedure,sub-procedure,call,definition part
Who or what calls definition part?,sub-procedure,sub-procedure,call,definition part
What is the relationship between dash and constant characters?,store,dash,store,constant characters
Explain the connection between dash and constant characters.,characters can be stored in a database.,dash,store,constant characters
How are dash and constant characters related?,store,dash,store,constant characters
What is the relationship between the print statement and some spaces?,the place where the print statement should be placed,the print statement,put,some spaces
Explain the connection between the print statement and some spaces.,the print statement put some spaces.,the print statement,put,some spaces
How are the print statement and some spaces related?,the print statement put some spaces.,the print statement,put,some spaces
What does the print statement put?,some spaces.,the print statement,put,some spaces
Who or what puts some spaces?,the print statement,the print statement,put,some spaces
What is the relationship between connectors connectors and communication media?,interface,connectors connectors,connect,communication media
Explain the connection between connectors connectors and communication media.,connectors connectors connect communication media,connectors connectors,connect,communication media
How are connectors connectors and communication media related?,connectors connectors connect communication media,connectors connectors,connect,communication media
What does connectors connectors connect?,communication media,connectors connectors,connect,communication media
Who or what connect communication media?,connectors,connectors connectors,connect,communication media
What is the relationship between appropriate programs and education?,are related to,appropriate programs,like,education
Explain the connection between appropriate programs and education.,education is an important part of a person's life.,appropriate programs,like,education
How are appropriate programs and education related?,are related,appropriate programs,like,education
What does appropriate programs like?,education,appropriate programs,like,education
Who or what likes education?,appropriate programs,appropriate programs,like,education
What is the relationship between 10 f and analog signal?,input,10 f,convert,analog signal
Explain the connection between 10 f and analog signal.,to a digital signal,10 f,convert,analog signal
How are 10 f and analog signal related?,10 f converts analog signal,10 f,convert,analog signal
What does 10 f convert?,analog signal,10 f,convert,analog signal
Who or what converts analog signal?,10 f,10 f,convert,analog signal
What is the relationship between firewalls and the computer network?,shelter,firewalls,shelter,the computer network
Explain the connection between firewalls and the computer network.,network,firewalls,shelter,the computer network
How are firewalls and the computer network related?,shelter,firewalls,shelter,the computer network
What shelters the computer network?,firewalls,firewalls,shelter,the computer network
Who or what shelters the computer network?,firewalls,firewalls,shelter,the computer network
What is the relationship between information and meaningful result?,result,information,give,meaningful result
Explain the connection between information and meaningful result.,the result of the information is the result of the information being shared.,information,give,meaningful result
How are information and meaningful result related?,meaningful result,information,give,meaningful result
Who or what gives meaningful result?,information,information,give,meaningful result
What is the relationship between n input and a word?,instance of,n input,enter,a word
Explain the connection between n input and a word.,word,n input,enter,a word
How are n input and a word related?,word,n input,enter,a word
What does n input enter?,word,n input,enter,a word
Who or what enters a word?,input,n input,enter,a word
What is the relationship between repeaters and the signal?,amplify,repeaters,amplify,the signal
Explain the connection between repeaters and the signal.,frequency,repeaters,amplify,the signal
How are repeaters and the signal related?,amplify,repeaters,amplify,the signal
Who or what amply the signal?,repeaters,repeaters,amplify,the signal
What is the relationship between a new file input and file?,is a part of,a new file input,open,file
Explain the connection between a new file input and file.,opens a new window,a new file input,open,file
How are a new file input and file related?,file is a new file.,a new file input,open,file
What does a new file input open?,file,a new file input,open,file
Who or what opens file?,a new file,a new file input,open,file
What is the relationship between the word and harm?,cause,the word,cause,harm
Explain the connection between the word and harm.,cause,the word,cause,harm
How are the word and harm related?,cause,the word,cause,harm
What does the word cause?,harm,the word,cause,harm
Who or what causes harm?,word,the word,cause,harm
What is the relationship between database management system and their activities?,concern,database management system,concern,their activities
Explain the connection between database management system and their activities.,they are involved in,database management system,concern,their activities
How are database management system and their activities related?,concern their activities,database management system,concern,their activities
What does database management system concern?,their activities,database management system,concern,their activities
Who or what concerns their activities?,database management system,database management system,concern,their activities
What is the relationship between step and the required folder?,instance of,step,choose,the required folder
Explain the connection between step and the required folder.,step is the user that created the folder.,step,choose,the required folder
How are step and the required folder related?,step,step,choose,the required folder
What is the relationship between employers and the use?,employer-user,employers,oversee,the use
Explain the connection between employers and the use.,use,employers,oversee,the use
How are employers and the use related?,oversee the use,employers,oversee,the use
Who or what overseers the use?,employers,employers,oversee,the use
What is the relationship between grade and the victim?,direct,grade,direct,the victim
Explain the connection between grade and the victim.,the victim's teacher,grade,direct,the victim
How are grade and the victim related?,grade directs the victim,grade,direct,the victim
Who or what directs the victim?,grade,grade,direct,the victim
What is the relationship between a spectacular tool and a business?,instance of,a spectacular tool,grow,a business
Explain the connection between a spectacular tool and a business.,it is a tool,a spectacular tool,grow,a business
How are a spectacular tool and a business related?,to grow a business,a spectacular tool,grow,a business
What does a spectacular tool grow?,a business,a spectacular tool,grow,a business
Who or what grows a business?,a spectacular tool,a spectacular tool,grow,a business
What is the relationship between rows and the query?,a part of,rows,define,the query
Explain the connection between rows and the query.,to describe the query,rows,define,the query
How are rows and the query related?,to the query,rows,define,the query
Who or what defines the query?,rows,rows,define,the query
What is the relationship between declare function area l and any value?,is a list of,declare function area l,return,any value
Explain the connection between declare function area l and any value.,it's a list of values,declare function area l,return,any value
How are declare function area l and any value related?,return any value,declare function area l,return,any value
What does declare function area l return?,any value,declare function area l,return,any value
What is the relationship between a provision and the user?,user,a provision,ask,the user
Explain the connection between a provision and the user.,answer a question,a provision,ask,the user
How are a provision and the user related?,user,a provision,ask,the user
What does a provision ask?,user,a provision,ask,the user
What is the relationship between the below steps and the primary key follow?,key word,the below steps,set,the primary key follow
Explain the connection between the below steps and the primary key follow.,key word,the below steps,set,the primary key follow
How are the below steps and the primary key follow related?,key word,the below steps,set,the primary key follow
What sets the primary key follow?,the below steps,the below steps,set,the primary key follow
What does the below steps set?,primary key,the below steps,set,the primary key follow
Who or what sets the primary key follow?,the below steps,the below steps,set,the primary key follow
What is the relationship between memory location and any program?,instance of,memory location,run,any program
Explain the connection between memory location and any program.,memory location is used to store data,memory location,run,any program
How are memory location and any program related?,memory location run any program,memory location,run,any program
What does memory location run?,any program,memory location,run,any program
What is the relationship between organizations and the infrastructure?,owned,organizations,own,the infrastructure
Explain the connection between organizations and the infrastructure.,infrastructure owned by individuals,organizations,own,the infrastructure
How are organizations and the infrastructure related?,owned,organizations,own,the infrastructure
Who or what owns the infrastructure?,organizations,organizations,own,the infrastructure
What is the relationship between glossary modular programming and one or more tasks?,instance of,glossary modular programming,perform,one or more tasks
Explain the connection between glossary modular programming and one or more tasks.,a computer program,glossary modular programming,perform,one or more tasks
How are glossary modular programming and one or more tasks related?,to one or more tasks,glossary modular programming,perform,one or more tasks
What perform one or more tasks?,modular programming,glossary modular programming,perform,one or more tasks
What does glossary modular programming perform?,one or more tasks,glossary modular programming,perform,one or more tasks
Who or what perform one or more tasks?,modular programming,glossary modular programming,perform,one or more tasks
What is the relationship between grade and the file?,is a part of the overall file,grade,close,the file
Explain the connection between grade and the file.,the file's location,grade,close,the file
How are grade and the file related?,grade is a measure of the size of the file.,grade,close,the file
Who or what closes the file?,grade,grade,close,the file
What is the relationship between user intervention and a security hole?,user intervention,user intervention,utilize,a security hole
Explain the connection between user intervention and a security hole.,user intervention is a form of intervention.,user intervention,utilize,a security hole
How are user intervention and a security hole related?,user intervention utilize a security hole,user intervention,utilize,a security hole
What utilizes a security hole?,user intervention,user intervention,utilize,a security hole
What does user intervention utilize?,security hole,user intervention,utilize,a security hole
Who or what utilizes a security hole?,user intervention,user intervention,utilize,a security hole
What is the relationship between anyone and e-commerce site?,start,anyone,start,e-commerce site
Explain the connection between anyone and e-commerce site.,e-commerce site,anyone,start,e-commerce site
How are anyone and e-commerce site related?,anyone,anyone,start,e-commerce site
What is the relationship between that offensive mechanism and mechanisms?,mutually exclusive,that offensive mechanism,need,mechanisms
Explain the connection between that offensive mechanism and mechanisms.,mechanism is a component of an offensive mechanism,that offensive mechanism,need,mechanisms
How are that offensive mechanism and mechanisms related?,to the offensive mechanism,that offensive mechanism,need,mechanisms
What does that offensive mechanism need?,mechanisms,that offensive mechanism,need,mechanisms
Who or what needs mechanisms?,that offensive mechanism,that offensive mechanism,need,mechanisms
What is the relationship between binary number system and this way?,is a type of number system,binary number system,like,this way
Explain the connection between binary number system and this way.,binary number system,binary number system,like,this way
How are binary number system and this way related?,binary number system,binary number system,like,this way
What does binary number system like?,binary number system,binary number system,like,this way
Who or what likes this way?,binary number system,binary number system,like,this way
What is the relationship between your school and data?,maintained,your school,maintain,data
Explain the connection between your school and data.,data,your school,maintain,data
How are your school and data related?,maintain data,your school,maintain,data
What does your school maintain?,data,your school,maintain,data
Who or what maintains data?,your school,your school,maintain,data
What is the relationship between binary and decimal number system conversion?,binary converts decimal number system conversion,binary,convert,decimal number system conversion
Explain the connection between binary and decimal number system conversion.,binary converts decimal number system conversion.,binary,convert,decimal number system conversion
How are binary and decimal number system conversion related?,binary convert decimal number system conversion,binary,convert,decimal number system conversion
What converts decimal number system conversion?,binary,binary,convert,decimal number system conversion
Who or what converts decimal number system conversion?,binary,binary,convert,decimal number system conversion
What is the relationship between connection and information?,relationship,connection,share,information
Explain the connection between connection and information.,connection is a form of information,connection,share,information
How are connection and information related?,connection,connection,share,information
What is the relationship between an e-mail message and mails?,receive,an e-mail message,receive,mails
Explain the connection between an e-mail message and mails.,e-mail is an e-mail message,an e-mail message,receive,mails
How are an e-mail message and mails related?,e-mail message receive mails,an e-mail message,receive,mails
What does an e-mail message receive?,mails,an e-mail message,receive,mails
What is the relationship between modular programming and a top-down approach?,follows,modular programming,follow,a top-down approach
Explain the connection between modular programming and a top-down approach.,modular programming is based on a top-down approach.,modular programming,follow,a top-down approach
How are modular programming and a top-down approach related?,modular programming follow a top-down approach,modular programming,follow,a top-down approach
What follows a top-down approach?,modular programming,modular programming,follow,a top-down approach
What does modular programming follow?,a top-down approach,modular programming,follow,a top-down approach
Who or what follows a top-down approach?,modular programming,modular programming,follow,a top-down approach
What is the relationship between unauthorized users and access?,user,unauthorized users,gain,access
Explain the connection between unauthorized users and access.,access to a computer,unauthorized users,gain,access
How are unauthorized users and access related?,unauthorized users gain access,unauthorized users,gain,access
What does unauthorized users gain?,access,unauthorized users,gain,access
Who or what gains access?,unauthorized users,unauthorized users,gain,access
What is the relationship between a variable and a location?,location,a variable,represent,a location
Explain the connection between a variable and a location.,location is the same as location.,a variable,represent,a location
How are a variable and a location related?,location,a variable,represent,a location
What does a variable represent?,location,a variable,represent,a location
Who or what represents a location?,variable,a variable,represent,a location
What is the relationship between the government and the former policy?,revise,the government,revise,the former policy
Explain the connection between the government and the former policy.,the government revise the former policy,the government,revise,the former policy
How are the government and the former policy related?,the government revise the former policy,the government,revise,the former policy
What revised the former policy?,the government,the government,revise,the former policy
What does the government revise?,the former policy,the government,revise,the former policy
Who or what revised the former policy?,the government,the government,revise,the former policy
What is the relationship between step and new value?,is a measure of change,step,type,new value
Explain the connection between step and new value.,step is a type of value,step,type,new value
How are step and new value related?,step is a new value,step,type,new value
Who or what types new value?,step,step,type,new value
What is the relationship between the above program and the file?,input program,the above program,open,the file
Explain the connection between the above program and the file.,it was created by,the above program,open,the file
How are the above program and the file related?,The file was opened by the program.,the above program,open,the file
What does the above program open?,file,the above program,open,the file
Who or what opens the file?,the above program,the above program,open,the file
What is the relationship between user and the records?,user,user,supply,the records
Explain the connection between user and the records.,user is a user,user,supply,the records
How are user and the records related?,user is a user,user,supply,the records
Who or what supply the records?,user,user,supply,the records
What is the relationship between grade 10 use and prime?,is the same as the previous one,grade 10 use,check,prime
Explain the connection between grade 10 use and prime.,grade 10 use,grade 10 use,check,prime
How are grade 10 use and prime related?,grade 10 use,grade 10 use,check,prime
What does grade 10 use check?,prime,grade 10 use,check,prime
Who or what checks prime?,grade 10,grade 10 use,check,prime
What is the relationship between rem program and two numbers?,given,rem program,give,two numbers
Explain the connection between rem program and two numbers.,two numbers,rem program,give,two numbers
How are rem program and two numbers related?,rem program give two numbers,rem program,give,two numbers
What does rem program give?,two numbers,rem program,give,two numbers
Who or what gives two numbers?,rem program,rem program,give,two numbers
What is the relationship between the failure and disadvantages?,affects,the failure,affect,disadvantages
Explain the connection between the failure and disadvantages.,disadvantages are a result of a failure.,the failure,affect,disadvantages
How are the failure and disadvantages related?,disadvantages,the failure,affect,disadvantages
What does the failure affect?,disadvantages,the failure,affect,disadvantages
Who or what affects disadvantages?,failure,the failure,affect,disadvantages
What is the relationship between smaller devices and smartphones?,are a part of a larger system,smaller devices,like,smartphones
Explain the connection between smaller devices and smartphones.,devices that can be connected to a network,smaller devices,like,smartphones
How are smaller devices and smartphones related?,devices,smaller devices,like,smartphones
What does smaller devices like?,smartphones,smaller devices,like,smartphones
Who or what likes smartphones?,smaller devices,smaller devices,like,smartphones
What is the relationship between declare statement purpose and the number?,is part of the sentence,declare statement purpose,indicate,the number
Explain the connection between declare statement purpose and the number.,declaration statement purpose,declare statement purpose,indicate,the number
How are declare statement purpose and the number related?,declare statement purpose indicate the number,declare statement purpose,indicate,the number
What does declare statement purpose indicate?,the number,declare statement purpose,indicate,the number
Who or what indicates the number?,declare statement purpose,declare statement purpose,indicate,the number
What is the relationship between router device and computers?,device,router device,connect,computers
Explain the connection between router device and computers.,router device,router device,connect,computers
How are router device and computers related?,router device,router device,connect,computers
What does router device connect?,computers,router device,connect,computers
Who or what connect computers?,router device,router device,connect,computers
What is the relationship between form and records?,record,form,enter,records
Explain the connection between form and records.,form is a type of record,form,enter,records
How are form and records related?,record,form,enter,records
Who or what enters records?,form,form,enter,records
What is the relationship between host computer and facilities?,give,host computer,give,facilities
Explain the connection between host computer and facilities.,a host computer is a computer that hosts a computer,host computer,give,facilities
How are host computer and facilities related?,provide,host computer,give,facilities
What does host computer give?,facilities,host computer,give,facilities
Who or what gives facilities?,host computer,host computer,give,facilities
What is the relationship between a user and the data type?,user,a user,select,the data type
Explain the connection between a user and the data type.,select the data type,a user,select,the data type
How are a user and the data type related?,select the data type,a user,select,the data type
What select the data type?,a user,a user,select,the data type
What does a user select?,data type,a user,select,the data type
Who or what select the data type?,a user,a user,select,the data type
What is the relationship between unfreeze required column and column?,instance of,unfreeze required column,hide,column
Explain the connection between unfreeze required column and column.,unfreeze required column,unfreeze required column,hide,column
How are unfreeze required column and column related?,unfreeze required column,unfreeze required column,hide,column
What does unfreeze required column hide?,column,unfreeze required column,hide,column
Who or what hides column?,unfreeze,unfreeze required column,hide,column
What is the relationship between the use and the speed?,increase,the use,increase,the speed
Explain the connection between the use and the speed.,decreases the amount of time it takes to complete a task.,the use,increase,the speed
How are the use and the speed related?,increase the speed,the use,increase,the speed
What does the use increase?,speed,the use,increase,the speed
Who or what increases the speed?,the use,the use,increase,the speed
What is the relationship between wearable devices and smartphones?,are a part of a larger system,wearable devices,like,smartphones
Explain the connection between wearable devices and smartphones.,wearable devices,wearable devices,like,smartphones
How are wearable devices and smartphones related?,wearable,wearable devices,like,smartphones
What does wearable devices like?,smartphones,wearable devices,like,smartphones
Who or what likes smartphones?,wearable devices,wearable devices,like,smartphones
What is the relationship between automation tools and essential functions?,subclass of,automation tools,perform,essential functions
Explain the connection between automation tools and essential functions.,automation tools perform essential functions,automation tools,perform,essential functions
How are automation tools and essential functions related?,automation tools perform essential functions,automation tools,perform,essential functions
What does automation tools perform?,essential functions,automation tools,perform,essential functions
Who or what perform essential functions?,automation tools,automation tools,perform,essential functions
What is the relationship between user and a choice?,user,user,give,a choice
Explain the connection between user and a choice.,user gives a choice,user,give,a choice
How are user and a choice related?,user gives a choice,user,give,a choice
Who or what gives a choice?,user,user,give,a choice
What is the relationship between stdio.h and your marks?,is associated with,stdio.h,type,your marks
Explain the connection between stdio.h and your marks.,stdio.h type your marks,stdio.h,type,your marks
Who or what types your marks?,stdio.h,stdio.h,type,your marks
What is the relationship between stdio.h and the first number?,input,stdio.h,enter,the first number
Explain the connection between stdio.h and the first number.,stdio.h,stdio.h,enter,the first number
How are stdio.h and the first number related?,stdio.h enter the first number,stdio.h,enter,the first number
What enters the first number?,stdio.h,stdio.h,enter,the first number
Who or what enters the first number?,stdio.h,stdio.h,enter,the first number
What is the relationship between method and line?,method,method,size,line
Explain the connection between method and line.,is a measure of distance,method,size,line
How are method and line related?,method,method,size,line
Who or what sizes line?,method,method,size,line
What is the relationship between specialized cinema halls and virtual reality?,immersive,specialized cinema halls,experience,virtual reality
Explain the connection between specialized cinema halls and virtual reality.,specialized cinema halls experience virtual reality,specialized cinema halls,experience,virtual reality
How are specialized cinema halls and virtual reality related?,specialized cinema halls,specialized cinema halls,experience,virtual reality
What does specialized cinema halls experience?,virtual reality,specialized cinema halls,experience,virtual reality
Who or what experiences virtual reality?,specialized cinema halls,specialized cinema halls,experience,virtual reality
What is the relationship between a wholesaler and an order?,instance of,a wholesaler,place,an order
Explain the connection between a wholesaler and an order.,a wholesaler is a person,a wholesaler,place,an order
How are a wholesaler and an order related?,a wholesaler place an order,a wholesaler,place,an order
What does a wholesaler place?,an order,a wholesaler,place,an order
Who or what places an order?,a wholesaler,a wholesaler,place,an order
What is the relationship between a we and the structure?,instance of,a we,change,the structure
Explain the connection between a we and the structure.,a we change a structure,a we,change,the structure
How are a we and the structure related?,a we change the structure,a we,change,the structure
What does a we change?,structure,a we,change,the structure
Who or what changes the structure?,we,a we,change,the structure
What is the relationship between the technology and the individual needs?,cater the individual needs,the technology,cater,the individual needs
